epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.639,1.90373,2.13478,1.75269,0.44463,0.36409,0.32837,0.13703,2.15347,2.29681,2.02352,0.000665751,0.000665751,0.000665751
2,236.726,1.93656,2.04603,1.79617,0.53072,0.40983,0.40656,0.18108,2.02551,2.06382,1.8535,0.00127965,0.00127965,0.00127965
3,357.486,1.9098,1.98973,1.76409,0.49642,0.4287,0.41988,0.19404,1.97222,1.91261,1.80406,0.00184076,0.00184076,0.00184076
4,482.395,1.85256,1.91955,1.73323,0.53598,0.42091,0.43306,0.20601,1.93915,1.87939,1.81181,0.0017624,0.0017624,0.0017624
5,610.265,1.80854,1.83129,1.69514,0.56102,0.49772,0.49832,0.24215,1.85434,1.77482,1.72136,0.0016832,0.0016832,0.0016832
6,742.756,1.78337,1.78048,1.67301,0.57554,0.46016,0.48582,0.2404,1.84401,1.80748,1.72318,0.001604,0.001604,0.001604
7,875.012,1.75645,1.71742,1.6425,0.61886,0.48892,0.52603,0.25821,1.82572,1.67438,1.68351,0.0015248,0.0015248,0.0015248
8,1006.2,1.73213,1.66536,1.6416,0.62039,0.51114,0.53897,0.27506,1.78869,1.63613,1.66161,0.0014456,0.0014456,0.0014456
9,1140.65,1.69963,1.62947,1.61531,0.55466,0.43829,0.44428,0.21242,1.9301,1.87789,1.80437,0.0013664,0.0013664,0.0013664
10,1274.42,1.68524,1.6175,1.60473,0.66713,0.55657,0.59861,0.31339,1.69874,1.52053,1.59565,0.0012872,0.0012872,0.0012872
11,1409.13,1.67184,1.58267,1.59551,0.65163,0.5402,0.57118,0.30001,1.74426,1.55604,1.62201,0.001208,0.001208,0.001208
12,1544.61,1.64866,1.53463,1.57812,0.67583,0.54763,0.59349,0.31993,1.6988,1.49214,1.59389,0.0011288,0.0011288,0.0011288
13,1682.19,1.62811,1.49486,1.5631,0.66059,0.54866,0.58363,0.30468,1.72113,1.52052,1.61586,0.0010496,0.0010496,0.0010496
14,1817.38,1.62205,1.48736,1.56415,0.65308,0.52391,0.57453,0.30426,1.73991,1.55339,1.6314,0.0009704,0.0009704,0.0009704
15,1954.35,1.60356,1.43895,1.53751,0.67535,0.56338,0.59681,0.31966,1.71739,1.48952,1.60151,0.0008912,0.0008912,0.0008912
16,2119.58,1.60938,1.36462,1.56164,0.70637,0.60515,0.64794,0.35512,1.63288,1.35479,1.5511,0.000812,0.000812,0.000812
17,2255.19,1.58166,1.31135,1.5485,0.70163,0.57879,0.63347,0.35309,1.62574,1.37529,1.55368,0.0007328,0.0007328,0.0007328
18,2392.63,1.55457,1.28079,1.52763,0.73965,0.60306,0.66151,0.37109,1.60739,1.29261,1.53596,0.0006536,0.0006536,0.0006536
19,2531.65,1.53825,1.26122,1.51753,0.73807,0.60635,0.66301,0.3758,1.58288,1.28609,1.51589,0.0005744,0.0005744,0.0005744
20,2671.74,1.52692,1.21076,1.51106,0.74065,0.63092,0.67934,0.38409,1.5831,1.25212,1.51542,0.0004952,0.0004952,0.0004952
21,2810.14,1.49374,1.18197,1.48771,0.74472,0.63187,0.68412,0.38685,1.57229,1.23391,1.50745,0.000416,0.000416,0.000416
22,2947.71,1.47414,1.14725,1.47891,0.75291,0.6426,0.69595,0.40218,1.53617,1.19118,1.48849,0.0003368,0.0003368,0.0003368
23,3084.85,1.4522,1.11993,1.46612,0.77041,0.64236,0.70589,0.40971,1.52903,1.18105,1.48041,0.0002576,0.0002576,0.0002576
24,3225.57,1.42381,1.0933,1.44153,0.77479,0.65238,0.71461,0.41694,1.5168,1.15218,1.46719,0.0001784,0.0001784,0.0001784
25,3371,1.39998,1.05645,1.4195,0.76863,0.65848,0.71308,0.41904,1.5145,1.14037,1.46717,9.92e-05,9.92e-05,9.92e-05
