epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9675,1.39164,2.3042,1.70274,0.41596,0.63534,0.49797,0.22454,1.82743,2.18337,2.37689,0.00047328,0.00047328,0.00047328
2,73.22,1.53852,1.72061,1.73658,0.41746,0.54986,0.44377,0.20176,2.17357,2.81943,2.56612,0.000912009,0.000912009,0.000912009
3,107.698,1.53059,1.63831,1.75503,0.54844,0.58971,0.55663,0.27636,1.64265,1.86071,2.10573,0.00131301,0.00131301,0.00131301
4,140.964,1.46266,1.49483,1.68648,0.59032,0.68856,0.62999,0.30511,1.86111,1.98348,2.35692,0.00125923,0.00125923,0.00125923
5,174.395,1.46119,1.42799,1.70765,0.8484,0.71521,0.78557,0.40156,1.63948,1.51425,2.02653,0.00120265,0.00120265,0.00120265
6,207.731,1.41573,1.37044,1.64472,0.87036,0.69587,0.80788,0.41388,1.66277,1.42291,2.00953,0.00114606,0.00114606,0.00114606
7,240.89,1.36818,1.30094,1.6128,0.85937,0.81599,0.85895,0.492,1.52355,1.15566,1.92433,0.00108947,0.00108947,0.00108947
8,274.137,1.31741,1.26058,1.58813,0.86561,0.84788,0.88607,0.50212,1.50107,1.10878,1.83889,0.00103288,0.00103288,0.00103288
9,307.351,1.27981,1.16994,1.53646,0.82866,0.80057,0.83831,0.46745,1.5743,1.11592,1.97342,0.000976293,0.000976293,0.000976293
10,340.467,1.24856,1.11527,1.52544,0.84846,0.80257,0.86408,0.46665,1.54267,1.07401,1.84485,0.000919704,0.000919704,0.000919704
11,373.939,1.22962,1.09652,1.48324,0.90681,0.85562,0.9216,0.55965,1.32281,0.94282,1.6427,0.000863116,0.000863116,0.000863116
12,407.459,1.19766,1.04536,1.48375,0.91763,0.87218,0.92589,0.52832,1.38284,0.97865,1.71477,0.000806528,0.000806528,0.000806528
13,441.115,1.18019,1.01172,1.46645,0.90247,0.84646,0.91407,0.54944,1.33965,0.89137,1.70774,0.000749939,0.000749939,0.000749939
14,474.904,1.18641,1.01455,1.46752,0.89568,0.82766,0.90774,0.56824,1.33094,0.90114,1.68745,0.000693351,0.000693351,0.000693351
15,508.43,1.14757,0.97351,1.43811,0.89124,0.89276,0.92235,0.57057,1.27775,0.85598,1.6223,0.000636762,0.000636762,0.000636762
16,581.081,1.18016,0.854,1.5961,0.89268,0.82407,0.88026,0.52815,1.37756,0.92517,1.69069,0.000580174,0.000580174,0.000580174
17,614.42,1.13095,0.82474,1.53842,0.90446,0.89275,0.92371,0.57637,1.26625,0.82162,1.58674,0.000523586,0.000523586,0.000523586
18,647.626,1.12809,0.76603,1.51258,0.89131,0.88333,0.90881,0.55953,1.28779,0.80891,1.61736,0.000466997,0.000466997,0.000466997
19,681.001,1.10394,0.73415,1.50566,0.92041,0.91228,0.93024,0.59751,1.22357,0.78197,1.55345,0.000410409,0.000410409,0.000410409
20,714.616,1.04549,0.71139,1.44676,0.91612,0.92137,0.94562,0.618,1.15929,0.74227,1.45917,0.00035382,0.00035382,0.00035382
21,748.373,1.03213,0.68885,1.42408,0.94912,0.91714,0.95538,0.62463,1.16779,0.71756,1.48263,0.000297232,0.000297232,0.000297232
22,782.867,1.00882,0.65596,1.40839,0.94658,0.87068,0.9335,0.62389,1.15044,0.69738,1.48135,0.000240644,0.000240644,0.000240644
23,816.172,0.98896,0.64698,1.38918,0.95284,0.89764,0.95662,0.64292,1.12016,0.68902,1.42635,0.000184055,0.000184055,0.000184055
24,849.088,0.94229,0.61338,1.36945,0.95542,0.91695,0.95941,0.65145,1.09925,0.64921,1.41927,0.000127467,0.000127467,0.000127467
25,882.277,0.92906,0.59029,1.33736,0.9569,0.91696,0.96015,0.65348,1.09928,0.64406,1.41252,7.08784e-05,7.08784e-05,7.08784e-05
